Nombre,ID del producto,Precio,Categoría,Imagen,Activo,Destacado,Artista,Stock,Descripción,Notas internas,Trigger Make
VINIL SYSTEM OF A DOWN TOXICITY,DV00031,"$89,70",DISCO,DV00031 - DISCO VINIL SYSTEM OF A DOWN TOXICITY.jpg (https://v5.airtableusercontent.com/v3/u/54/54/1782345600000/MgENNWPJtHX-j_ivRLo5eg/7Om0bM8UwL2I6SPPO8F_jBP6fpqVzs4dmfG_i9BpAx0afGQ3TQB_8mi9bni_P7M1hU8LTIOaUDBRdkPDdHJBzzRq7TVFzkuXZ9K78Zxkx5m-5dSECNSRjnXf_dilzDvl3-RV7VpIIn4fliCiZJg8YxjmkYKj04xAaBPn0hhl8rUb74ZmP25XffhuigUKnsDMYaeet1Rh7wvuyCV9wZswXw/dzNxNeV21GWyClPkC2jUTR2mOjQ06lnJSvWRMUBfvdg),checked,,SYSTEM OF A DOWN,Disponible,,,24/6/2026 4:30pm
VINIL BAD BUNNY DEBI TIRAR MAS FOTO,DV00032,"$103,50",DISCO,DV00032 - DISCO VINIL BAD BUNNY DEBE TIRAR MAS FOTO.webp (https://v5.airtableusercontent.com/v3/u/54/54/1782345600000/-S8zXE49ZYP3LKwPbFyumA/CoI2pCCT8aH3U2_qJ65jyZr59OdUNfylYstxQknzPEkqzDgrTtWxJjvqvZLADwrYF_DJl9_fikRHv7WtdyixUr1-S28PhWJvmr-C0q7cs86mw9EUz-8Wgwg_sp_o06dR3ltLeaLKDlUAKFv1gOioCmnwUXbonHExf6Y4wS47aCaVXHUVygl2YabWcxHNUal0dcw1bVh5zbB6VwFvet2_Ww/BxUVgAwSFOK_qACOoQkrtXpFSBFmuEC8gDlPbmI0xM8),checked,,BAD BUNNY,Disponible,,,24/6/2026 4:30pm
VINIL BON JOVI SPLIPERY ,DV00033,"$92,00",DISCO,DV00033 - DISCO VINIL BON JOVI SPLIPER.jpg (https://v5.airtableusercontent.com/v3/u/54/54/1782345600000/JPD1hLCcFwc68Ux_IszN-w/DkoyzXaHaeP3yZ9gNdJYSsoPoRh08yrTOLHxTsozc65GJUqMKkqEji5k0Kbj4OXm0Fjzsla3yVDTvogx7VekMrG7eVnE3tGyj9H_ZIANQFnr1OL2dFQoM0XgP58JXpYB_Gxufy8c18B8kC_uN6E6YG0aMsjLFyDgIl1g_7PAgEgCXerzua013rTR7iy9yg3s/7nVjiPmhSqaOP1zTatKKI4tp07_uc_cdUyK5oeU9STk),checked,,BON JOVI,Disponible,,,24/6/2026 4:30pm
VINIL RED HOT CHILI PEPPERS CALIFORNICATION ,DV00034 ,"$80,50",DISCO,DV00034 - DISCO VINIL RED HOT CHILI PEPPERS CALIFORNICATION.jpg (https://v5.airtableusercontent.com/v3/u/54/54/1782345600000/MrgbFHZwkgluLnH3GWqFBw/n0lWG943YaezOVR2faYIeJL6FZHbuXtbzGK6d3MaTYckZSL5_JGLhHgzVO9BLf1fq5iTV85orFziqRgUVEE-V8DJt5mldp-VxCKGwpFf4qn1V-7ip-rgoM1ytbfScv8e9s2Pwlhalcl_WCkQkooMSeUAYNGQatxvSjS6QRna00eszLszNmwms0Jhv6AWaUQJx3jy6-5ixxS10UqKk_dbJA/g6oMUU3R-n8QqTFquSGk9UCMuhpuaGM35hH29_3XCyQ),checked,,RED HOT CHILI PEPPERS,Disponible,,,24/6/2026 4:31pm
VINIL BLINK 182 ENEMA OF THE STATE ,DV00035 ,"$92,00",DISCO,DV00035 - DISCO VINIL BLINK 182 ENEMA OF THE STATE.jpg (https://v5.airtableusercontent.com/v3/u/54/54/1782345600000/8fLX94y5GOkXPSQCs1aqqA/ELWH3Ka-cyXXgfY2978QYcYE_tpu3qcrfEJTRJcFr3QvnalKQ-_S6eyjv_wtE9S99ebTOsrgDIXNFIHEvAzajNqM2yIFRi68uJFB3I7IJZVQYpc6KOHAP169Q-9o9DCagaH5T1tZoomnaaS80VjbN65grptJOXg-gZ3CCQfxf_jfwAKmER3QSsUEgSiGGRO3b_Mp-Cj8HyzsvnXL7mQuCA/YkabV3bk_AiEtIE8DQwOavNfM3ApBa4slTnhQdvLi0I),checked,,BLINK 182 ,Disponible,,,24/6/2026 4:31pm
VINIL NIRVANA NEVER MIND ,DV00036 ,"$89,70",DISCO,DV00036 - DISCO VINIL NIRVANA NEVER MIND.jpg (https://v5.airtableusercontent.com/v3/u/54/54/1782345600000/da-1Gj4xg3-41UlCIW441g/uWSQot3avalMaXypgTx9SCQaSeIZySlh82Q9jpaG9Qx3SNqJJ3F7dF3EzIaugG7ambqnb3bn1vPl03ta2NOOkJbfFT4KILCY3rJqCjaqNZ0URpFk_Wm3uDKyRXya7zJ-55jIn_FhXaCpSQ_m9ajcTNAjmlG4f291TEd1YF-RvNkWygDAGJDazawV2Jc-iqbn/wCKb5sLLuzzbMESR0W2zl90ZHcm2aPiujEj_B2X7Qco),checked,,NIRVANA,Disponible,,,24/6/2026 4:31pm
VINIL AVRIL LAVIGNE LET GO,DV00037 ,"$105,80",DISCO,DV00037 - DISCO VINIL AVRIL LAVIGNE LET GO.jpg (https://v5.airtableusercontent.com/v3/u/54/54/1782345600000/MC7DYBkSj-u6D3zkG1E6oA/dI3BX4DRcPO4nT0152yJ_iJK1dzbfviogWSG3fO24aS9VTJ7XVbvteUHifyPSPk92zLvMRsfkdl8KgYOprauEp2S2GQ6mK3b-i3u_lL-Jwsq1P6HyjN7Vs2GWEjeL2RKjixEeIigKqO8G2-rNnx_gVqMtCj9_PdPFlpLJnQ3Ki7DefM4XY_4HHLRfwLrICpi/FXlqTxgRgl-j0OmXD5ecub2YT4EjaDbkVR0_zFoAegY),checked,,AVRIL LAVIGNE,Disponible,,,24/6/2026 4:31pm
VINIL METALLICA DISCO NEGRO ,DV00038,"$92,00",DISCO,DV00038 - DISCO VINIL METALLICA DISCO NEGRO.jpg (https://v5.airtableusercontent.com/v3/u/54/54/1782345600000/GU1CdTdLmIbqcKMAEomRww/5bzLZrSU9R-hszLm3BcB7Ld3xWH-CHM7DOE7TLpr_z7KYlww6dr8qnNe_ATC1h_ieP1zkl14WsyXDm35GndUF_c9CTM54FjmavH89KagZbx3CcUwNAcacOzpUqU2IQIDtJwm8-1QUKSSHZCXfA2F55idIUZWpXe6NafVc-vEl2P1dgBTd2zpr9RxST9WFbe7/aOEele0KL02BY1PXPVTLwR4Tfd6SUcvOPR4YsoNykLY),checked,,METALLICA,Disponible,,,24/6/2026 4:32pm
VINIL LIMP BIZKIT SIGNIFICANT OTHER ,DV00039,"$98,90",DISCO,DV00039 - DISCO VINIL LIMP BIZKIT SIGNIFICANT OTHER.jpg (https://v5.airtableusercontent.com/v3/u/54/54/1782345600000/5Rd3WNUX3QGhXeRgBxddIg/VLTh4hbWdAgff29gKkjx0BxqTnA6Ms5myTai-_5tPw80GakGMxVRn93cWto6juTC3rEt1ub6jGw7EcvzQK4McY4ZUqlXoLMESkVKFtPi-OySvmDdjMxKwf8gcViZJP8H1Gkxsh0YOPPcyVC0Tt9-5BMeXR0saeR6MH6P9t8UOjuhZv8TgH7Xz5azflNHWonaD7YmKg8HHGjgaVm6YWbC3g/NxqqWt096LpXAcYW5Q-zxpVkeqYlu66FYyk5n-lJBdc),checked,,LIMP BIZKIT,Disponible,,,24/6/2026 4:32pm
VINIL RAWAYANA ASTROPICAL ,DV00040,"$115,00",DISCO,DV00040 - DISCO VINIL RAWAYANA ASTROPICAL.jpg (https://v5.airtableusercontent.com/v3/u/54/54/1782345600000/YqypfR0zR5VZih-gnH1Xog/HKe5xhzDp6t640TzuVofosnMXKHyWdFiIMNSbWq3X6JHj9e5ZQzlLa5a71krZXe9SG1lRBrnm6NrsZcd8z57kw-1GF8KipskmT64Gs1N2cNgIISZMOvOnaJ6JMaPXCp5esLdQGugQ72igvk-h7uI_bRKz7ZFzvRA7HGvSVXHuoR_ulWUj0itUniPkxjTNc53/65-tqHGk_BIaxx3s4hkiqd8valUwga0n_lFLEIANCB8),checked,,RAWAYANA,Disponible,,,24/6/2026 4:32pm
VINIL HARRY STYLES HARRYS HOUSE ,DV00041 ,"$96,60",DISCO,DV00041 - DISCO VINIL HARRY STYLES HARRYS HOUSE.jpg (https://v5.airtableusercontent.com/v3/u/54/54/1782345600000/WvUsobKaQna5GZzVpoRGNQ/j5xRSAR6CWlPSrsLXaPneQQN7mvXI69xOLNSYd4M54SweNlKVYcHt8geRpPNgC3E8fcyP8lqZejPe_WJEJlwDKW4va5FW3VTPDhrlCDCCM5iASOCG_A76NI3RFkoZFZlS-LHXyMMCBkF_1BjUwA_0AbS-2ImwdEGC4sXsZHk1BcP_v3JTLA0lclH6f4mIPlEdC0sVYRYc2nm68k1AcDrog/NgrOUj6OeIIBFU7RjF95Gjee8xJKl6bHr6LPHWn0VLM),checked,,HARRY STYLES,Disponible,,,24/6/2026 4:32pm
VINIL ABBA GOLD GREATEST HITS ,DV00042,"$105,80",DISCO,DV00042 - DISCO VINIL ABBA GOLD GREATEST HITS.jpg (https://v5.airtableusercontent.com/v3/u/54/54/1782345600000/QznfLamwnqME6SNxeV3JbA/OpTMpc8Kwp2TMaNFgSgL4t-6oriY6ya1IXmZPjTZVBs8NBdEd2Ewyf_QL4iknI3FPmb7lQDjo2aEp04QYjcztJGkj8y-uN6vx4Fteqi-thohC--Remi1dvd-On7pCYSjm3aU7auadqc9_ZnqBhMTniDgpA0RD1uPQCF5d19UhB-55gisixfaV5LSdQlTRzRvWw318LsE6jhrlv3d5Dzl1A/fxjP5WmyOOyKq2wNkw3DI9MvWsR7eU4eYhmGzq3C7TQ),checked,, ABBA,Disponible,,,24/6/2026 4:32pm
VINIL SHAKIRA LAS MUJERES NO LLORAN,DV00043 ,"$96,60",DISCO,DV00043 - DISCO VINIL SHAKIRA LAS MUJERES NO LLORAN.webp (https://v5.airtableusercontent.com/v3/u/54/54/1782345600000/krY94g24YGkvlI9ZivUJUA/2zrKN2Qr-YqdVNuu_2xuPRYSVe1SRkqQEA_Qzja7Ed0Vpy8rR-1YVuQ0XRzNV5fP2qyi9HbD11QbYGhPBYKw6ClBNTvhBvcZJUJewBQwrPY6v8cYnI8ZF-3NWPyaYxL-5XxmgftsfNWVcl7Gzb7al-uK9Wtw8QR6jIU7Z0EbOsHVaT2cURi-JrpOrBR1DeUZ179eUSIWSLkmDIy8tzhJFQ/2c3cCBD2RYhbOqbZhzMpYXUzhjKzKGxRNYd_NrmHqQk),checked,,SHAKIRA,Disponible,,,24/6/2026 4:33pm
VINIL MICHAEL JACKSON BAD ,DV00045,"$69,00",DISCO,DV00045 - DISCO VINIL MICHAEL JACKSON BAD.jpg (https://v5.airtableusercontent.com/v3/u/54/54/1782345600000/GqW9q9Vn0XnAeNEK2U9UdA/DGUsJ_dN28WOP0mV2HXVJCRMTmEd-VFTRYuKuKCFnxlt4tgh_vFzuHXgvonfhyRYQp9ofT2LrkOT2H4K3lyH0Uql4nNvAuT-cY7vzdxIOoSH7yy9NL5FfpFn6U8rti8ktuiWUVLHdjwM0vRzCtj0pmRfrBLJYGOLEXmH2EK9WrMD1gXC639oB4X6H04Fh93_/JuICFYqkJgVZeUgLewRGWzdMXokV-0JlqKuEh48FTU4),checked,,MICHAEL JACKSON,Disponible,,,24/6/2026 4:33pm
VITROLA BLANCO ,TD00002,"$161,00",TOCADISCOS,TD00002 - TOCADISCOS VITROLA BLANCO.jpeg (https://v5.airtableusercontent.com/v3/u/54/54/1782345600000/DicnNEcUp3xwSB_h2ZcLUQ/Y5xllrzfmRkxpOJXxEhUFFAOOTHK0EhxJAgtBCzRQW-4Ggw8_FwOQiDkCE8F5CzNJg5RYA6Zs4xiT9gB8KSVQGlPCK-pxEv16mR84u5q-7QJdbGfNjStD29dITVp3swPRifLsVftueGDPfOIg6tEre1vgwEhN0E53nel6YPFFRP2UYzbWzDHtU_ILFQ7mcIx/HS0kxS71OLRWb6IVJHafIs2Rrtq-nBunMUHKXL_LWjM),checked,,VITROLA,Disponible,,,24/6/2026 4:34pm
VITROLA LILA ,TD00003 ,"$161,00",TOCADISCOS,TD00003 - TOCADISCOS VITROLA LILA.jpeg (https://v5.airtableusercontent.com/v3/u/54/54/1782345600000/m5sov4-FBwU5w4nImUu24g/LgwodcTjEjbe5qvgvXH9Ktdthb7vBhn1rPQFOd5w8fWuQwZIfnBYzuWUcgQD5nXdPIhd5wXool-hBmf3Kn_VMkxQuTxUpuAecXDRC8qM4fsYyTH5WZ5kC-tOxp48ROdlEVzvtcOv_hwYlLDrzVWKeq70bOTBkO_MEAQUCVNd7m_e4GpJMdSPSpwU6N0Mbna8/xchVLMhOZqRSl1u03aA9tlFAANp_UOuYcXqvutit9-I),checked,,VITROLA,Disponible,,,24/6/2026 4:34pm
TANLANIN NEGRO ,TD00004,"$161,00",TOCADISCOS,TD00004 - TOCADISCOS TANLANIN NEGRO.jpeg (https://v5.airtableusercontent.com/v3/u/54/54/1782345600000/5Z6Fz8fr-o5nZ6OtafkoUQ/Z9HLphd3d8LFGwBb1Ix_ao2UHFNmByxOOqU7oYmG_83mKmXIsLD6BhZic_6MLdpG8evd2XD-k0n-Jap1dHYyDrMhnaEnBBAOftwPpswdH4UOf2qQ2-7oQra77BSYh-BS67b4UgxnK0sNuoLpmwS53Cir4xpzrYzYyER9mphU6y3mAo6dJdwIAc0la1fSBkMK/y0IiJxzujENSunoPlW9Bxhh1ab3GQUgTSnwXr7ZZnGk),checked,,TANLANIN,Disponible,,,24/6/2026 4:34pm
TANLANIN ROSADO,TD00005 ,"$161,00",TOCADISCOS,TD00005 - TOCADISCOS TANLANIN ROSADO.jpeg (https://v5.airtableusercontent.com/v3/u/54/54/1782345600000/gDEmWKACJ5FbvTyunrSwCg/7Eyd_dVgpaeKyqVm4pFa3KLyaHEQ-DviIZ3ZVlZIpcRZH7GOiHX3tm6C1IaY__sasvE8zmMenZZVqdswcpt9KzbvQqTgnsna0RodRlRsxrq1Ozm7p-MDcQ01T5FuYhvaPXlHjtvum_Q-XkTJxCgKsebG4mmAIUXXfaFefNqJey-IUoZAulMnq46OwcOEchWv/s2aZaYkxs_0DmSEwe8YU9i3ShLqxZs45janJUkZxGrY),checked,,TANLANIN,Disponible,,,24/6/2026 4:35pm
