Nombre,ID del producto,Precio,Categoría,Imagen,Activo,Destacado,Artista,Stock,Descripción,Notas internas,Trigger Make
VINIL GUSTAVO CERATI BOCANADA ,DV00011 ,"$92,00",DISCO,DV00011 DISCO VINIL GUSTAVO CERATI BOCANADA.jpg (https://v5.airtableusercontent.com/v3/u/54/54/1782345600000/jU0ZLgLqLVj_mmYwxz8UgA/66aK1KrIMw34RLijS44yg7x7Tnho0ROp8Zf83rmQWGRVI6TYPDS8RVQua9z9_BvyL3lscroTkwW3biyeQDGn31MblHbMWlM-Hi5HWoMM1iSzgXBsjNstan2XCHW80pcI--fTzSWj3c2dmAUNX9XX3wXUyUkkReZjR2lsX84dPRm0NJPWHeMakfgEXrXCHZTGqYX6lqqFtZVh1L__6KcYcA/-eVCwG7EskjSz_4pU9-vzli41BgM0cX4UAOBuOwhSZs),checked,,GUSTAVO CERATI,Disponible,,,24/6/2026 4:26pm
 VINIL SODA STEREO CANCION ANIMAL ,DV00012 ,"$94,30",DISCO,DV00012 - DISCO VINIL SODA STEREO CANCION ANIMAL.jpg (https://v5.airtableusercontent.com/v3/u/54/54/1782345600000/-luUwCKlJPDX1XMTmWGo3A/5e8ulebGlPXKoGOCKplBaNtwvUVHFYbSq-UCaKXNo9ibxTx_zlc6TK6428g06sr2kNBDfAPb8BcKg9xtgX7wRMZif8L-932qI14w0X2MqAJapMtrEwxptaBMA_ZHrLzW1xuvWwnqyKiqTgnkZM6at72Z1Q7yH2xqGwzVza6EAlPJCdbTImL-puqrrm11x9ZLURMZcOYDNb4axRU5XJ9n7g/Uf7Lq-f5oSM7jQrQ8oa2UrPCZ1m_z9wmJI-JlsD0K0s),checked,,SODA STEREO ,Disponible,,,24/6/2026 4:26pm
VINIL SODA STEREO DYNAMO ,DV00013,"$135,70",DISCO,DV00013 DISCO VINIL SODA STEREO DYNAMO.jpg (https://v5.airtableusercontent.com/v3/u/54/54/1782345600000/1c6jDG0RQNtCelEnqmeIrw/jwUr0_C_BVL4WzQrYmqJPTuPGGFmmJj6YG5eULLGCXyhtnu-Nr-epyT4I9gFBHAi4haFd_J47FSViqpX3gG613K_vHot2uKH6AUmV_2kQp2a-RXmdgq51zRt2EMG3yB1CWlYUGxe7UQ_OZVLWrHyvkwwHebcV1V4-JVR64TIcxa0HJXa5zPGEFIaeBvUKGk-/PQPyuiGuyBaQUh2-mOUMSkdOxBecMgO7j0X9JIEO3T8),checked,,SODA STEREO ,Disponible,,,24/6/2026 4:26pm
VINIL SODA STEREO DOBLE VIDA,DV00014,"$103,50",DISCO,DV00014 - DISCO VINIL SODA STEREO DOBLE VIDA.jpg (https://v5.airtableusercontent.com/v3/u/54/54/1782345600000/Bfb6X6TvWLzH4KSmEamGNw/nwtjAUF-9g84rE5bjFuYqjzwr0ObRa6oheCSAHvSHS-L1H06omdw461R24iHS4fzZeTmNdDVWsLjKrnkCmclHxkMHk-34Ed-JBRmf6E8sZu0svWBe7me5_sQdHSPvSurYfPyDzYrGsVjl7zBklI2MKpYOYsaVNDjJWhXO1kZqsvEL3J1GPX_J6Rsw_5hytbn/ypz4CmjaQY19o7eb-w2A37QW5wp1BN4KHg6qAeE7MZg),checked,,SODA STEREO ,Disponible,,,24/6/2026 4:25pm
VINIL SODA EN VIVO RUIDO BLANCO,DV00015,"$105,80",DISCO,DV00015 DISCO VINIL SODA EN VIVO RUIDO BLANCO.jpg (https://v5.airtableusercontent.com/v3/u/54/54/1782345600000/sH-blXErim-6DxAkrK5neA/B6vp3ObdrkvP4PkYOC5kH4MGDwqk6hyEwCPNZi_2pSyVsbtymvwTykTL4SgvhpTjaPANBpNkV6QOYrjQSmUsqdLwLTnd1fsHWJGLKAZ_b6XvvJnoS0k3IROpsB2c4Rni_QHCv32OUKdJv3qNrB3LzdW6PAy-hQDfHmH4WkVb-DtEl75VTP04vk85x8zwvnHPZ0tB5hHs_IN0DDh_6Rhzqw/3alzBjROpvti5f1LqGsoDSkbVMO0gdIqWVxiW-VEu50),checked,,SODA STEREO ,Disponible,,,24/6/2026 4:25pm
VINIL LUIS MIGUEL ROMANCE ,DV00016,"$80,50",DISCO,DV00016 - DISCO VINIL LUIS MIGUEL ROMANCE.jpg (https://v5.airtableusercontent.com/v3/u/54/54/1782345600000/fyVvyaaCgGTQzp_zA8qkMw/x07pqhd6E3l1fkl_8WdBoo0Rpd0CEDnd1jh_OC69H-nzuzo2ILw8LUTGkRp37hreskLgGFXi9OsGQ2wc4BuIh1T0FVJMh9gvvIYDt2bhdgWj9cFh2bkm8EHiHYv6h36e20ZiZz9t3aH990m5JGCiP3HqOBjE0TGSZuLkOrUg7OT2aIRz0kFE4_Mtn02ybVSV/-F-_dmF2awbfo_OTr46TamuZ09n_ic9fhJq43TF2CIs),checked,, LUIS MIGUE,Disponible,,,24/6/2026 4:26pm
VINIL DUA LUPA FUTURE NOSTALGIA ,DV00017 ,"$80,50",DISCO,DV00017 - DISCO VINIL DUA LUPA FUTURE NOSTALGIA.jpg (https://v5.airtableusercontent.com/v3/u/54/54/1782345600000/Xuzvrsee1tIc0BWxLNcjcg/WPdlVHYVFoxYNwB_9myu-UlHhDqkDgiQXM8YA2zm_zvIP3z-c6w_I9rCvyz-WafOTqgSwUHDW5MX9Cqa-h1gTYISlYU4ma6WfbDImWG0R7LnZOoiRnEEfXkirMC6WVCZycx4aCbh_y50qgnhO1B9ANqyvJyIkx6nCMSon37s05KH1r2bhzwkWqkCyRhZaRq5GuXSCdEymRu-ZhN9iUbpcg/pJr4qaEcjw8t7afhWqNnzYh2DyiPaEHhyA0pk5svCH0),checked,,DUA LUPA,Disponible,,,24/6/2026 4:26pm
VINIL PINK FLOYD THE DARK SIDE OF THE MOON ,DV00018 ,"$96,60",DISCO,DV00018 - DISCO VINIL PINK FLOYD THE DARK SIDE OF THE MOON.jpg (https://v5.airtableusercontent.com/v3/u/54/54/1782345600000/elfjIBl4OHYt8Nqiy0SHYw/sVIBC4ZtyJlSogKYchy1iM19BbqKDIJvjEvv9P5Mbfh7_jEPfk0ptHeGKzn6OV0OfMhx53OUbu07h78Y04l0ceF6WShFRI_YGFh3jr0M7xFDdVswd1rBFTz4ZltuyD5clKexqBt-3IMU_76mVKIEJlWKYgTdQrvVlgafiL8CqTnMbPUAQRau10ETuydpsfbSaZK_7gihNTMNA5DgJryqlA/gelMzufBBDNvDHd30ZZwhoIpPmllB0tT7Mbmu4y8fVc),checked,,PINK FLOYD,Disponible,,,24/6/2026 4:27pm
VINIL GREEN DAY AMERICAN IDIOT,DV00019 ,"$66,70",DISCO,DV00019 - DISCO VINIL GREEN DAY AMERICAN IDIOT.jpg (https://v5.airtableusercontent.com/v3/u/54/54/1782345600000/jqBjkz-AfALku7USTsm8Ew/0h3_39YApDqSf_OnUWIYu2aT1umMO_bGH9F-_LZ0JmzMEFkgiGYoASG1cRS3g-Pandhjq_9FVmliMzD2RNA_Mak8bqXTSGKXyyA76ZLrF2pF03YpfFOcl172BIeaVpQczElHvCapdaDzJ8z1Z4fEe6Mo16ZHDhxUU_QPiMis266I_s6YSpsmchcS5Ep1XTinzQX4qY3HlC4FCovAbvhvfA/TZ9-pbAn7zw5S0v4X9muwTWC9EEH-36Qmjr7Sxs7jwU),checked,,GREEN DAY,Disponible,,,24/6/2026 4:27pm
VINIL ACDC BACK IN BLACK,DV00020,"$78,20",DISCO,DV00020 - DISCO VINIL ACDC BACK IN BLACK.jpg (https://v5.airtableusercontent.com/v3/u/54/54/1782345600000/BSmAiRLIvQsGDbPpzdDG4g/RNHsDrulXPaoG6hGmDbnxRZVkgxsGstbhxXKYdOw1iDNTp4RvGXCDRX7gSUTXXsEK8GKSR1QFQ-nnLpr9MrxYGWlR3mpup-ZQbRT9etTh0SCnSpCVw88TPRJZCt_k_tW1um5p6RDjLzgtenbOpm9OdgLTl3sWk57oq50pS91XGFWrFPSgEWI8V2yEa8gerFK/A2tGrQdbM3CpZF6LPngtIn2Thblolt-8-T1YDzd_W9g),checked,,ACDC,Disponible,,,24/6/2026 4:27pm
